domain,conflict_flag,decision,n
arxiv,True,低于域中位数,9471
arxiv,True,高于域中位数,9471
book,True,低于域中位数,85
book,True,等于域中位数,1
book,True,高于域中位数,85
c4,True,低于域中位数,5000
c4,True,高于域中位数,5000
commoncrawl,True,低于域中位数,4820
commoncrawl,True,高于域中位数,4820
github,False,低于域中位数,46
github,False,高于域中位数,467
github,True,低于域中位数,106830
github,True,高于域中位数,106409
stackexchange,False,低于域中位数,6
stackexchange,False,高于域中位数,4
stackexchange,True,低于域中位数,4994
stackexchange,True,高于域中位数,4996
wikipedia,True,低于域中位数,5000
wikipedia,True,高于域中位数,5000
